Jón Bjarnason,http://en.wikipedia.org/wiki/J%C3%B3n_Bjarnason,Left-Green Movement,Northwest,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Jón Kristjánsson,http://en.wikipedia.org/wiki/J%C3%B3n_Kristj%C3%A1nsson,Progressive Party,East,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Katrín Fjeldsted,http://en.wikipedia.org/wiki/Katr%C3%ADn_Fjeldsted,Independence Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Kolbrún Halldórsdóttir,http://en.wikipedia.org/wiki/Kolbr%C3%BAn_Halld%C3%B3rsd%C3%B3ttir,Left-Green Movement,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Kristinn Gunnarsson,"",Progressive Party,West Fjords,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Kristján Möller,http://en.wikipedia.org/wiki/Kristj%C3%A1n_L._M%C3%B6ller,Social Democratic Alliance,Northwest,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Kristján Pálsson,"",Independence Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Lára Ragnarsdóttir,"",Independence Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Lúðvík Bergvinsson,"",Social Democratic Alliance,South,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Margrét Frímannsdóttir,"",Social Democratic Alliance,South,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Páll Pétursson,http://en.wikipedia.org/wiki/P%C3%A1ll_P%C3%A9tursson,Progressive Party,Northwest,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Pétur Blöndal,http://en.wikipedia.org/wiki/P%C3%A9tur_H._Bl%C3%B6ndal,Independence Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Rannveig Guðmundsdóttir,http://en.wikipedia.org/wiki/Rannveig_Gu%C3%B0mundsd%C3%B3ttir,Social Democratic Alliance,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Sighvatur Björgvinsson,http://en.wikipedia.org/wiki/Sighvatur_Bj%C3%B6rgvinsson,Social Democratic Alliance,West Fjords,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2001
Karl Matthíasson,"",Social Democratic Alliance,West Fjords,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2001
Sigríður Jóhannesdóttir,"",Social Democratic Alliance,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Sigríður Þórðardóttir,http://en.wikipedia.org/wiki/Sigr%C3%AD%C3%B0ur_Anna_%C3%9E%C3%B3r%C3%B0ard%C3%B3ttir,Independence Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Siv Friðleifsdóttir,http://en.wikipedia.org/wiki/Siv_Fri%C3%B0leifsd%C3%B3ttir,Progressive Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Steingrímur Sigfússon,http://en.wikipedia.org/wiki/Steingr%C3%ADmur_J._Sigf%C3%BAsson,Left-Green Movement,Northeast,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Sturla Böðvarsson,http://en.wikipedia.org/wiki/Sturla_B%C3%B6%C3%B0varsson,Independence Party,West,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Svanfríður Jónasdóttir,"",Social Democratic Alliance,Northeast,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Sverrir Hermannsson,http://en.wikipedia.org/wiki/Sverrir_Hermannsson,Liberal Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Sólveig Pétursdóttir,http://en.wikipedia.org/wiki/S%C3%B3lveig_P%C3%A9tursd%C3%B3ttir,Independence Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Tómas Olrich,http://en.wikipedia.org/wiki/T%C3%B3mas_Ingi_Olrich,Independence Party,Northeast,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Valgerður Sverrisdóttir,http://en.wikipedia.org/wiki/Valger%C3%B0ur_Sverrisd%C3%B3ttir,Progressive Party,Northeast,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Vilhjálmur Egilsson,"",Independence Party,Northwest,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2003
Adolf Berndsen,"",Independence Party,Northwest,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2003
Árni Árnason,"",Independence Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Árni Jóhannsson,"",Left-Green Movement,Northeast,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Árni Johnsen,http://en.wikipedia.org/wiki/%C3%81rni_Johnsen,Independence Party,South,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2001
Kjartan Ólafsson,/wiki/Kjartan_%C3%93lafsson,Independence Party,South,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003,2001
Árni Mathiesen,http://en.wikipedia.org/wiki/%C3%81rni_M._Mathiesen,Independence Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Ásta Jóhannesdóttir,http://en.wikipedia.org/wiki/%C3%81sta_Ragnhei%C3%B0ur_J%C3%B3hannesd%C3%B3ttir,Social Democratic Alliance,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Ásta Möller,"",Independence Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Ísólfur Pálmason,"",Progressive Party,South,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Ólafur Haraldsson,"",Progressive Party,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Ögmundur Jónasson,http://en.wikipedia.org/wiki/%C3%96gmundur_J%C3%B3nasson,Left-Green Movement,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Össur Skarphéðinsson,http://en.wikipedia.org/wiki/%C3%96ssur_Skarph%C3%A9%C3%B0insson,Social Democratic Alliance,Reykjavik,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Þorgerður Gunnarsdóttir,http://en.wikipedia.org/wiki/%C3%9Eorger%C3%B0ur_Katr%C3%ADn_Gunnarsd%C3%B3ttir,Independence Party,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Þuríður Backman,http://en.wikipedia.org/wiki/%C3%9Eur%C3%AD%C3%B0ur_Backman,Left-Green Movement,East,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
Þórunn Sveinbjarnardóttir,http://en.wikipedia.org/wiki/%C3%9E%C3%B3runn_Sveinbjarnard%C3%B3ttir,Social Democratic Alliance,Reykjanes,"http://en.wikipedia.org/wiki/List_of_members_of_the_parliament_of_Iceland,_1999%E2%80%932003",1999–2003
